,ACCP,CONF
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,Y,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,Y,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,Y,
84,,
85,Y,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,Y,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,Y,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,Y,
123,,
124,,
125,,
126,,
127,Y,
128,,
129,Y,
130,,
131,,
132,,
133,,
134,,
135,,
136,Y,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,Y,Y
145,,
146,Y,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,Y,Y
155,,
156,,
157,,
158,,
159,Y,
160,Y,
161,,
162,,
163,Y,
164,,
165,,
166,,
167,,
168,,
169,,
170,Y,
171,,
172,,
173,,
174,Y,
175,,
176,Y,
177,,
178,,
179,,
180,Y,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,Y,
191,,
192,Y,
193,,
194,,
195,,
196,,
197,,
198,,
199,Y,
200,Y,
201,,
202,,
203,,
204,,
205,,
206,,
207,Y,Y
208,,
209,Y,Y
210,,
211,Y,Y
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,Y,
225,,
226,,
227,,
228,Y,
229,Y,
230,,
231,,
232,Y,
233,,
234,,
235,Y,
236,,
237,,
238,,
239,Y,
240,Y,
241,,
242,Y,
243,,
244,,
245,Y,
246,Y,
247,,
248,,
249,Y,
250,,
251,,
252,,
253,Y,
254,,
255,,
256,,
257,,
258,,
259,Y,Y
260,Y,Y
261,,
262,,
263,,
264,,
265,,
266,Y,
267,,
268,Y,
269,,
270,,
271,Y,
272,,
273,,
274,,
275,,
276,Y,
277,,
278,Y,
279,,
280,,
281,Y,
282,,
283,Y,
284,Y,
285,,
286,Y,
287,,
288,Y,
289,Y,
290,Y,
291,,
292,,
293,,
294,,
295,Y,
296,Y,
297,,
298,,
299,,
300,Y,
301,,
302,,
303,,
304,Y,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,Y,
315,Y,
316,,
317,Y,
318,,
319,,
320,,
321,,
322,,
323,,
