ACT,SAT Math USE,SAT Reading USE,SAT Total USE,RGPA,High School GPA,IR Score,Class Rank,Class Size,Class Percentile
,,,,2.15,,,213.0,213.0,0.0
,450.0,440.0,890.0,2.52,,,137.0,138.0,0.01
18.0,,,,1.24,,,65.0,66.0,0.02
,,,,1.9,,,121.0,125.0,0.03
,,,,,,,109.0,113.0,0.04
,,,,2.05,,,189.0,197.0,0.04
,550.0,530.0,1080.0,2.64,,,103.0,110.0,0.06
,,,,2.12,,,107.0,117.0,0.09
,470.0,520.0,990.0,1.5,,,100.0,110.0,0.09
,510.0,610.0,1120.0,3.4,,,177.0,197.0,0.1
,390.0,430.0,820.0,2.0,,,114.0,127.0,0.1
,,,,1.21,,,51.0,57.0,0.11
,,,,,,,102.0,114.0,0.11
,,,,2.2,,,169.0,189.0,0.11
,560.0,590.0,1150.0,2.16,,,459.0,516.0,0.11
,520.0,610.0,1130.0,1.13,,,331.0,375.0,0.12
,,,,,,,64.0,73.0,0.12
,,,,,,,99.0,113.0,0.12
,,,,,,,78.0,90.0,0.13
20.0,,,,2.9,,,57.0,67.0,0.15
,530.0,420.0,950.0,2.47,,,183.0,217.0,0.16
24.0,,,,2.22,,,86.0,102.0,0.16
,420.0,520.0,940.0,1.93,,,150.0,180.0,0.17
,520.0,560.0,1080.0,2.75,,,280.0,337.0,0.17
,,,,,,,189.0,228.0,0.17
,,,,,,,131.0,159.0,0.18
,,,,2.67,,,74.0,90.0,0.18
,,,,,,,295.0,361.0,0.18
,,,,2.85,,,152.0,188.0,0.19
,520.0,490.0,1010.0,1.84,,,156.0,193.0,0.19
,630.0,520.0,1150.0,2.4,,,66.0,82.0,0.2
,560.0,590.0,1150.0,2.86,,,45.0,56.0,0.2
,,,,2.79,,,84.0,105.0,0.2
,560.0,570.0,1130.0,2.37,,,93.0,117.0,0.21
,460.0,450.0,910.0,1.87,,,142.0,180.0,0.21
,,,,,,,315.0,400.0,0.21
,,,,2.97,,,270.0,343.0,0.21
,,,,2.89,,,85.0,108.0,0.21
,,,,,,,287.0,366.0,0.22
,500.0,530.0,1030.0,2.43,,,316.0,404.0,0.22
,,,,3.2,,,88.0,113.0,0.22
,,,,1.9,,,276.0,355.0,0.22
,,,,2.89,,,266.0,343.0,0.22
,,,,2.9,,,266.0,343.0,0.22
,550.0,570.0,1120.0,2.85,,,120.0,155.0,0.23
,560.0,560.0,1120.0,2.73,,,236.0,305.0,0.23
,390.0,460.0,850.0,2.57,,,145.0,189.0,0.23
,,,,2.8,,,130.0,170.0,0.24
28.0,,,,3.41,,,86.0,113.0,0.24
,600.0,600.0,1200.0,2.32,,,246.0,324.0,0.24
,650.0,540.0,1190.0,2.24,,,110.0,145.0,0.24
,,,,2.97,,,442.0,585.0,0.24
,520.0,510.0,1030.0,2.83,,,202.0,268.0,0.25
,,,,2.0,,,134.0,178.0,0.25
,,,,3.47,,,85.0,113.0,0.25
,570.0,560.0,1130.0,3.02,,,256.0,343.0,0.25
,580.0,580.0,1160.0,2.72,,,245.0,330.0,0.26
,,,,,,,190.0,257.0,0.26
,,,,1.86,,,275.0,372.0,0.26
,450.0,470.0,920.0,1.87,,,42.0,57.0,0.26
,,,,,,,84.0,114.0,0.26
,420.0,500.0,920.0,2.33,,,119.0,162.0,0.27
,,,,2.37,,,55.0,75.0,0.27
,,,,2.48,,,60.0,82.0,0.27
,,,,,,,264.0,361.0,0.27
