,0
f12,0.39856407
f25,0.18180145
f14,0.06615008
f22,0.04552686
f77,0.031962503
f20,0.028940657
f59,0.021649217
f15,0.0204184
f2,0.015876697
f9,0.015027103
f19,0.011441929
f1,0.00927446
f32,0.00890637
f8,0.008816921
f23,0.008793147
f24,0.008062324
f10,0.0073629497
f30,0.00713565
f3,0.0066112876
f61,0.005658314
f75,0.0054522255
f0,0.004886993
f7,0.0047766925
f31,0.0042537972
f51,0.004136036
f36,0.0040374594
f16,0.0037993623
f74,0.0037861657
f11,0.0037412448
f6,0.0037102513
f17,0.0035784657
f68,0.0035067894
f35,0.0034380856
f60,0.003384169
f13,0.0033268046
f70,0.0031851064
f76,0.0031798356
f44,0.0030287446
f57,0.0029332647
f26,0.0029276374
f41,0.0028646602
f73,0.0025693635
f18,0.0025196767
f56,0.0024793206
f34,0.0019348408
f33,0.0012558093
f62,0.0012093319
f48,0.0011522836
f54,0.00065799616
f37,0.0002480231
f49,5.9273712e-05
f69,0.0
f71,0.0
f5,0.0
f4,0.0
f67,0.0
f66,0.0
f72,0.0
f55,0.0
f27,0.0
f65,0.0
f64,0.0
f53,0.0
f52,0.0
f50,0.0
f47,0.0
f46,0.0
f45,0.0
f43,0.0
f42,0.0
f40,0.0
f39,0.0
f29,0.0
f28,0.0
f58,0.0
f63,0.0
f21,0.0
f38,0.0
