,0
f77,0.23939534
f11,0.07646828
f9,0.061505828
f15,0.057954818
f59,0.048217535
f2,0.046593495
f20,0.044138942
f10,0.04147463
f16,0.040161923
f19,0.027199676
f32,0.017701292
f1,0.016841419
f8,0.015440509
f0,0.014801514
f23,0.013842642
f14,0.012662105
f31,0.011979932
f74,0.0116657475
f61,0.01047427
f24,0.010344675
f29,0.009459372
f6,0.008888955
f30,0.008263409
f36,0.007926071
f75,0.007900069
f7,0.007888133
f17,0.007763353
f18,0.007709791
f45,0.0076564844
f62,0.007615869
f13,0.007379117
f34,0.0073400233
f28,0.0069480496
f48,0.0066737034
f76,0.006547441
f57,0.006306533
f35,0.006191553
f58,0.0061759674
f22,0.0061269696
f51,0.005965617
f60,0.0058356454
f54,0.00574116
f50,0.00547514
f41,0.0045274408
f44,0.0038730288
f33,0.003585228
f39,0.0019509868
f63,0.001738615
f64,0.001588703
f49,9.3001814e-05
f65,0.0
f56,0.0
f4,0.0
f5,0.0
f55,0.0
f53,0.0
f73,0.0
f72,0.0
f71,0.0
f70,0.0
f52,0.0
f69,0.0
f37,0.0
f68,0.0
f47,0.0
f46,0.0
f67,0.0
f66,0.0
f21,0.0
f43,0.0
f42,0.0
f38,0.0
f26,0.0
f27,0.0
f40,0.0
