,0
f78,0.18
f26,0.16
f13,0.12
f23,0.1
f4,0.08
f3,0.06
f9,0.06
f17,0.04
f16,0.02
f34,0.02
f24,0.02
f55,0.02
f19,0.02
f18,0.02
f60,0.02
f58,0.02
f10,0.02
f2,0.02
f15,0.0
f25,0.0
f35,0.0
f1,0.0
f33,0.0
f32,0.0
f31,0.0
f30,0.0
f29,0.0
f28,0.0
f27,0.0
f5,0.0
f14,0.0
f6,0.0
f22,0.0
f21,0.0
f20,0.0
f7,0.0
f8,0.0
f37,0.0
f11,0.0
f12,0.0
f36,0.0
f39,0.0
f38,0.0
f59,0.0
f62,0.0
f63,0.0
f64,0.0
f65,0.0
f66,0.0
f67,0.0
f68,0.0
f69,0.0
f70,0.0
f71,0.0
f72,0.0
f73,0.0
f74,0.0
f75,0.0
f76,0.0
f61,0.0
f57,0.0
f77,0.0
f56,0.0
f40,0.0
f41,0.0
f42,0.0
f43,0.0
f44,0.0
f45,0.0
f46,0.0
f47,0.0
f48,0.0
f49,0.0
f50,0.0
f51,0.0
f52,0.0
f53,0.0
f54,0.0
f0,0.0
