,0
f13,0.6206703862342566
f26,0.21221259536380901
f3,0.027494339611775578
f4,0.015372879145109583
f1,0.010535982818714842
f0,0.010456031108665498
f25,0.01014114155582062
f2,0.009621244220872946
f24,0.008609730764158186
f10,0.007009106061121621
f9,0.005989387702317586
f17,0.004250643528386227
f16,0.004243872594548566
f75,0.003323489838900705
f21,0.003282676415315566
f12,0.0027444635875303732
f11,0.002650705106689807
f33,0.0025561538281016747
f78,0.002203846776855246
f35,0.0021966081827771967
f19,0.002160425157660597
f15,0.0018763546388952679
f46,0.001731759270231621
f56,0.0016901181889534369
f20,0.0016467082348159436
f14,0.0016160742074861234
f76,0.0015290688579289642
f32,0.001457229875018592
f65,0.0014490562280975346
f58,0.0013395188046832643
f63,0.0012227317472569665
f7,0.0012161447230786525
f55,0.0011744117584911071
f37,0.0011270518599370996
f27,0.0011060977013521635
f18,0.001058143352004329
f45,0.0010385184375262938
f8,0.000974072724183104
f51,0.0008975620279433752
f49,0.0008033513398177513
f34,0.0006154471381681095
f52,0.0005934490125456874
f38,0.0005704705680825576
f77,0.00044393685119320747
f30,0.00038027502778887023
f31,0.00036053671742363597
f74,0.0003484562878939228
f40,0.0003428721500606953
f41,0.00031633338647705177
f60,0.00031548836986859837
f43,0.00028824378464966933
f36,0.00028589050009539144
f54,0.000262909278706938
f23,0.00021039787131907573
f61,0.00020802968581383943
f72,0.00019588175198885746
f62,0.00019380174302377213
f69,0.0001800151248133934
f50,0.00017877719851790513
f64,0.00017734649303291882
f67,0.0001374467518988605
f47,0.00011434089448249509
f59,0.00011434033183162383
f57,9.556614772443247e-05
f73,9.139639322881486e-05
f39,8.220411621688445e-05
f66,6.83421723398542e-05
f42,4.730132481826119e-05
f53,3.634069935110189e-05
f28,3.473096132459774e-05
f29,2.9747684229349023e-05
f68,0.0
f70,0.0
f71,0.0
f22,0.0
f6,0.0
f5,0.0
f44,0.0
f48,0.0
