,0
f21,0.10342141
f78,0.08590518
f60,0.05879578
f0,0.04843045
f26,0.042163473
f3,0.038387585
f20,0.037253376
f10,0.036864795
f11,0.0354026
f16,0.026274836
f13,0.0253888
f25,0.023052521
f24,0.02295176
f38,0.017413681
f4,0.016638812
f75,0.016089197
f33,0.016077066
f36,0.01416152
f37,0.013953122
f18,0.013622834
f63,0.013573248
f9,0.013470147
f7,0.013321459
f1,0.013231225
f14,0.012290056
f52,0.012089576
f27,0.012063964
f62,0.012019935
f8,0.011790037
f51,0.011742843
f2,0.011584682
f30,0.011384714
f49,0.011370066
f56,0.011184136
f46,0.011063974
f19,0.010448682
f34,0.009949697
f43,0.009722667
f74,0.009623119
f77,0.009619302
f12,0.009323704
f42,0.009249107
f58,0.00890111
f17,0.008584198
f65,0.008552271
f57,0.008547574
f35,0.008514365
f39,0.0071414914
f32,0.0037878158
f55,0.0025332095
f40,0.0010727837
f61,0.0
f72,0.0
f71,0.0
f70,0.0
f69,0.0
f5,0.0
f6,0.0
f68,0.0
f67,0.0
f66,0.0
f73,0.0
f64,0.0
f41,0.0
f45,0.0
f59,0.0
f29,0.0
f44,0.0
f31,0.0
f54,0.0
f76,0.0
f22,0.0
f23,0.0
f53,0.0
f50,0.0
f48,0.0
f47,0.0
f28,0.0
f15,0.0
