,0
f25,0.12
f12,0.12
f77,0.1
f3,0.1
f0,0.1
f8,0.06
f22,0.04
f59,0.02
f20,0.02
f19,0.02
f18,0.02
f16,0.02
f15,0.02
f33,0.02
f54,0.02
f57,0.02
f23,0.02
f36,0.02
f10,0.02
f9,0.02
f62,0.02
f7,0.02
f35,0.02
f2,0.02
f1,0.02
f27,0.0
f26,0.0
f29,0.0
f30,0.0
f31,0.0
f73,0.0
f24,0.0
f28,0.0
f14,0.0
f21,0.0
f17,0.0
f13,0.0
f74,0.0
f11,0.0
f6,0.0
f5,0.0
f4,0.0
f75,0.0
f32,0.0
f72,0.0
f34,0.0
f52,0.0
f70,0.0
f69,0.0
f68,0.0
f67,0.0
f66,0.0
f65,0.0
f64,0.0
f63,0.0
f61,0.0
f60,0.0
f58,0.0
f56,0.0
f55,0.0
f53,0.0
f51,0.0
f71,0.0
f50,0.0
f49,0.0
f48,0.0
f47,0.0
f46,0.0
f45,0.0
f44,0.0
f43,0.0
f42,0.0
f41,0.0
f40,0.0
f39,0.0
f76,0.0
f37,0.0
f38,0.0
