,0
f12,0.67712885
f25,0.08063627
f59,0.017825548
f77,0.007551337
f19,0.00471096
f58,0.00467205
f60,0.0045684767
f69,0.0044817785
f30,0.00415418
f42,0.00400147
f51,0.0039338097
f61,0.003920056
f72,0.003857054
f29,0.0038477373
f56,0.0037942058
f50,0.0037718322
f2,0.0037654208
f68,0.003700193
f41,0.0035982686
f36,0.0034791841
f33,0.0034358758
f10,0.0033420774
f63,0.003341576
f37,0.0032895007
f20,0.0032754396
f39,0.003252904
f49,0.0032518934
f66,0.0032464673
f15,0.0032439611
f22,0.0032249738
f38,0.003198123
f71,0.0031937484
f57,0.0031720006
f24,0.0031419175
f3,0.0031154864
f67,0.0031068625
f27,0.0030950163
f75,0.0030821706
f48,0.0030814882
f6,0.0030678797
f53,0.0030091833
f31,0.002962451
f73,0.002956994
f40,0.0029422154
f44,0.0029373749
f7,0.0029359676
f54,0.0029336119
f55,0.0029222136
f70,0.0029213377
f26,0.0029097728
f13,0.0028427378
f45,0.002825194
f34,0.0027837292
f64,0.0027689915
f1,0.0027318327
f16,0.002729903
f9,0.002691332
f11,0.0026910887
f62,0.0026707086
f0,0.0026472423
f46,0.0026395475
f14,0.0026076864
f32,0.0026028052
f65,0.0026016065
f8,0.0025984186
f17,0.00244908
f74,0.0023316112
f35,0.0022954892
f23,0.0022499694
f43,0.0022383684
f18,0.0022290526
f52,0.0018034271
f28,0.0015340835
f76,0.0014470059
f21,0.0
f5,0.0
f4,0.0
f47,0.0
